Ssn, Super_ssn, Pno
1, 7, 1
1, 7, 1
1, 7, 2
1, 7, 2
1, 7, 2
1, 7, 3
1, 7, 3
1, 7, 1
1, 7, 1
1, 7, 2
1, 7, 2
1, 7, 2
1, 7, 2
1, 7, 2
1, 7, 2
1, 7, 3
1, 7, 3
1, 7, 10
1, 7, 10
1, 7, 10
1, 7, 20
1, 7, 20
1, 7, 20
1, 7, 30
1, 7, 30
1, 7, 30
1, 7, 10
1, 7, 10
1, 7, 10
1, 7, 10
1, 7, 10
1, 7, 10
1, 7, 30
1, 7, 30
1, 7, 30
1, 7, 30
1, 7, 30
1, 7, 30
1, 7, 20
1, 7, 20
1, 7, 20
1, 7, 20
1, 7, 20
1, 7, 20
2, 6, 1
2, 6, 1
2, 6, 2
2, 6, 2
2, 6, 2
2, 6, 3
2, 6, 3
2, 6, 1
2, 6, 1
2, 6, 2
2, 6, 2
2, 6, 2
2, 6, 2
2, 6, 2
2, 6, 2
2, 6, 3
2, 6, 3
2, 6, 10
2, 6, 10
2, 6, 10
2, 6, 20
2, 6, 20
2, 6, 20
2, 6, 30
2, 6, 30
2, 6, 30
2, 6, 10
2, 6, 10
2, 6, 10
2, 6, 10
2, 6, 10
2, 6, 10
2, 6, 30
2, 6, 30
2, 6, 30
2, 6, 30
2, 6, 30
2, 6, 30
2, 6, 20
2, 6, 20
2, 6, 20
2, 6, 20
2, 6, 20
2, 6, 20
3, 7, 1
3, 7, 1
3, 7, 2
3, 7, 2
3, 7, 2
3, 7, 3
3, 7, 3
3, 7, 1
3, 7, 1
3, 7, 2
3, 7, 2
3, 7, 2
3, 7, 2
3, 7, 2
3, 7, 2
3, 7, 3
3, 7, 3
3, 7, 10
3, 7, 10
3, 7, 10
3, 7, 20
3, 7, 20
3, 7, 20
3, 7, 30
3, 7, 30
3, 7, 30
3, 7, 10
3, 7, 10
3, 7, 10
3, 7, 10
3, 7, 10
3, 7, 10
3, 7, 30
3, 7, 30
3, 7, 30
3, 7, 30
3, 7, 30
3, 7, 30
3, 7, 20
3, 7, 20
3, 7, 20
3, 7, 20
3, 7, 20
3, 7, 20
4, 6, 1
4, 6, 1
4, 6, 2
4, 6, 2
4, 6, 2
4, 6, 3
4, 6, 3
4, 6, 1
4, 6, 1
4, 6, 2
4, 6, 2
4, 6, 2
4, 6, 2
4, 6, 2
4, 6, 2
4, 6, 3
4, 6, 3
4, 6, 10
4, 6, 10
4, 6, 10
4, 6, 20
4, 6, 20
4, 6, 20
4, 6, 30
4, 6, 30
4, 6, 30
4, 6, 10
4, 6, 10
4, 6, 10
4, 6, 10
4, 6, 10
4, 6, 10
4, 6, 30
4, 6, 30
4, 6, 30
4, 6, 30
4, 6, 30
4, 6, 30
4, 6, 20
4, 6, 20
4, 6, 20
4, 6, 20
4, 6, 20
4, 6, 20
5, 6, 1
5, 6, 1
5, 6, 2
5, 6, 2
5, 6, 2
5, 6, 3
5, 6, 3
5, 6, 1
5, 6, 1
5, 6, 2
5, 6, 2
5, 6, 2
5, 6, 2
5, 6, 2
5, 6, 2
5, 6, 3
5, 6, 3
5, 6, 10
5, 6, 10
5, 6, 10
5, 6, 20
5, 6, 20
5, 6, 20
5, 6, 30
5, 6, 30
5, 6, 30
5, 6, 10
5, 6, 10
5, 6, 10
5, 6, 10
5, 6, 10
5, 6, 10
5, 6, 30
5, 6, 30
5, 6, 30
5, 6, 30
5, 6, 30
5, 6, 30
5, 6, 20
5, 6, 20
5, 6, 20
5, 6, 20
5, 6, 20
5, 6, 20
6, 8, 1
6, 8, 1
6, 8, 2
6, 8, 2
6, 8, 2
6, 8, 3
6, 8, 3
6, 8, 1
6, 8, 1
6, 8, 2
6, 8, 2
6, 8, 2
6, 8, 2
6, 8, 2
6, 8, 2
6, 8, 3
6, 8, 3
6, 8, 10
6, 8, 10
6, 8, 10
6, 8, 20
6, 8, 20
6, 8, 20
6, 8, 30
6, 8, 30
6, 8, 30
6, 8, 10
6, 8, 10
6, 8, 10
6, 8, 10
6, 8, 10
6, 8, 10
6, 8, 30
6, 8, 30
6, 8, 30
6, 8, 30
6, 8, 30
6, 8, 30
6, 8, 20
6, 8, 20
6, 8, 20
6, 8, 20
6, 8, 20
6, 8, 20
7, 8, 1
7, 8, 1
7, 8, 2
7, 8, 2
7, 8, 2
7, 8, 3
7, 8, 3
7, 8, 1
7, 8, 1
7, 8, 2
7, 8, 2
7, 8, 2
7, 8, 2
7, 8, 2
7, 8, 2
7, 8, 3
7, 8, 3
7, 8, 10
7, 8, 10
7, 8, 10
7, 8, 20
7, 8, 20
7, 8, 20
7, 8, 30
7, 8, 30
7, 8, 30
7, 8, 10
7, 8, 10
7, 8, 10
7, 8, 10
7, 8, 10
7, 8, 10
7, 8, 30
7, 8, 30
7, 8, 30
7, 8, 30
7, 8, 30
7, 8, 30
7, 8, 20
7, 8, 20
7, 8, 20
7, 8, 20
7, 8, 20
7, 8, 20
